location,city,property_type,bedrooms,bathrooms,size_sqm,furnished,serviced,annual_rent,listing_date,listing_url
Festac,Lagos,flat,2,1,115,no,yes,3600000,15/08/2026,#######
Garki,Abuja,penthouse,2,1,140,no,no,4800000,05/08/2026,#######
Garki,Abuja,terrace,4,5,,no,yes,4500000,03/08/2026,#######
Ikeja,Lagos,terrace,1,2,100,not stated,yes,1700000,06/08/2026,#######
Mabushi,Abuja,mansion,3,2,1156,yes,yes,6300000,06/08/2026,#######
Asokoro,Abuja,mansion,1,1,609,no,no,15200000,13/08/2026,#######
Ikeja,Lagos,self-contain,0,1,,no,yes,900000,05/08/2026,#######
Ikeja GRA,Lagos,terrace,2,1,150,yes,not stated,3200000,02/08/2026,#######
Ojodu Berger,Lagos,bungalow,4,3,725,no,not stated,5000000,18/08/2026,#######
Apo,Abuja,mansion,3,2,1182,not stated,no,6600000,05/08/2026,#######
Ojodu Berger,Lagos,mansion,2,2,688,yes,yes,5700000,03/08/2026,#######
Wuse 1,Abuja,bungalow,3,4,448,not stated,not stated,4800000,14/08/2026,#######
Dutse,Abuja,self-contain,0,1,43,yes,not stated,600000,03/08/2026,#######
Ikoyi,Lagos,terrace,4,4,442,not stated,not stated,6300000,11/08/2026,#######
Maryland,Lagos,penthouse,3,3,501,yes,yes,6100000,14/08/2026,#######
Maitama,Abuja,penthouse,3,4,,not stated,yes,10600000,01/08/2026,#######
Maitama,Abuja,bungalow,5,5,,no,yes,8100000,13/08/2026,#######
Lokogoma,Abuja,bungalow,4,5,541,no,not stated,5100000,05/08/2026,#######
Maitama,Abuja,self-contain,0,1,67,yes,yes,800000,18/08/2026,#######
Asokoro,Abuja,duplex,6,7,,no,not stated,9000000,01/08/2026,#######
Mabushi,Abuja,duplex,3,2,,not stated,not stated,3600000,10/08/2026,#######
Dutse,Abuja,bungalow,1,2,,not stated,no,2800000,06/08/2026,#######
Surulere,Lagos,penthouse,5,5,,no,yes,6800000,12/08/2026,#######
Dutse,Abuja,penthouse,1,1,,not stated,no,3100000,06/08/2026,#######
Festac,Lagos,bungalow,3,4,640,yes,yes,3300000,12/08/2026,#######
Lugbe,Abuja,penthouse,2,1,125,no,no,5300000,02/08/2026,#######
Ojodu Berger,Lagos,self-contain,0,1,64,yes,not stated,1500000,12/08/2026,#######
Lugbe,Abuja,duplex,1,1,124,not stated,yes,1500000,02/08/2026,#######
Ajah,Lagos,terrace,3,2,,no,not stated,3100000,15/08/2026,#######
Apo,Abuja,self-contain,0,1,130,not stated,no,800000,07/08/2026,#######
Amuwo Odofin,Lagos,self-contain,0,1,124,not stated,no,300000,05/08/2026,#######
Gwarinpa,Abuja,flat,2,2,40,not stated,yes,3900000,03/08/2026,#######
Festac,Lagos,duplex,2,3,,no,no,3700000,07/08/2026,#######
Lekki Phase 2,Lagos,duplex,2,2,,not stated,yes,3000000,10/08/2026,#######
Apo,Abuja,penthouse,1,1,85,yes,not stated,3100000,13/08/2026,#######
Ikoyi,Lagos,self-contain,0,1,46,not stated,not stated,1400000,12/08/2026,#######
Life Camp,Abuja,flat,2,2,108,no,yes,2100000,13/08/2026,#######
Sangotedo,Lagos,flat,1,2,89,no,no,1700000,13/08/2026,#######
Gwarinpa,Abuja,bungalow,6,5,262,yes,yes,7800000,10/08/2026,#######
Gbagada,Lagos,terrace,1,1,135,no,not stated,1700000,11/08/2026,#######
Mabushi,Abuja,flat,2,3,,no,not stated,2600000,13/08/2026,#######
Amuwo Odofin,Lagos,penthouse,2,2,97,no,no,4500000,07/08/2026,#######
Ajah,Lagos,self-contain,0,1,127,not stated,not stated,500000,17/08/2026,#######
Festac,Lagos,bungalow,3,2,337,yes,no,3500000,09/08/2026,#######
Ajah,Lagos,self-contain,0,1,,yes,yes,1000000,07/08/2026,#######
Ikeja GRA,Lagos,duplex,4,4,234,not stated,no,5900000,06/08/2026,#######
